filename,width,height,class,xmin,ymin,xmax,ymax
5.jpg,1280,720,thumb,597,0,1065,449
10.jpg,1280,720,thumb,614,14,1104,535
15.jpg,1280,720,thumb,637,15,1127,581
30.jpg,1280,720,thumb,584,178,1016,562
35.jpg,1280,720,thumb,598,217,997,575
40.jpg,1280,720,thumb,612,260,953,576
60.jpg,1280,720,thumb,555,259,875,571
65.jpg,1280,720,thumb,532,228,869,557
70.jpg,1280,720,thumb,539,139,892,528
75.jpg,1280,720,thumb,564,116,931,493
80.jpg,1280,720,thumb,580,51,976,477
85.jpg,1280,720,thumb,558,21,1008,497
95.jpg,1280,720,thumb,635,29,1095,488
100.jpg,1280,720,thumb,638,34,1108,485
105.jpg,1280,720,thumb,648,35,1096,514
115.jpg,1280,720,thumb,478,60,969,472
120.jpg,1280,720,thumb,498,89,921,462
125.jpg,1280,720,thumb,579,137,958,488
130.jpg,1280,720,thumb,595,189,981,516
135.jpg,1280,720,thumb,605,160,982,472
140.jpg,1280,720,thumb,589,156,954,467
145.jpg,1280,720,thumb,585,159,957,473
150.jpg,1280,720,thumb,596,155,963,474
155.jpg,1280,720,thumb,614,138,994,496
165.jpg,1280,720,thumb,675,202,1043,609
170.jpg,1280,720,thumb,641,189,1026,585
175.jpg,1280,720,thumb,574,167,978,601
180.jpg,1280,720,thumb,467,157,923,604
185.jpg,1280,720,thumb,364,168,841,603
190.jpg,1280,720,thumb,279,143,787,589
195.jpg,1280,720,thumb,268,121,762,543
200.jpg,1280,720,thumb,294,104,758,513
205.jpg,1280,720,thumb,381,123,755,493
210.jpg,1280,720,thumb,447,121,773,473
215.jpg,1280,720,thumb,462,142,768,472
230.jpg,1280,720,thumb,516,196,753,457
235.jpg,1280,720,thumb,516,174,754,448
240.jpg,1280,720,thumb,523,182,755,459
250.jpg,1280,720,thumb,540,257,779,477
255.jpg,1280,720,thumb,551,263,781,493
260.jpg,1280,720,thumb,558,265,795,496
265.jpg,1280,720,thumb,557,246,807,496
270.jpg,1280,720,thumb,552,233,799,477
275.jpg,1280,720,thumb,581,201,817,458
280.jpg,1280,720,thumb,614,182,861,427
285.jpg,1280,720,thumb,641,127,891,418
290.jpg,1280,720,thumb,638,125,890,398
295.jpg,1280,720,thumb,631,134,900,428
305.jpg,1280,720,thumb,710,155,979,461
310.jpg,1280,720,thumb,671,140,974,439
325.jpg,1280,720,thumb,496,98,811,437
330.jpg,1280,720,thumb,418,29,780,389
335.jpg,1280,720,thumb,374,50,759,443
340.jpg,1280,720,thumb,449,84,865,537
345.jpg,1280,720,thumb,579,181,956,600
365.jpg,1280,720,thumb,510,231,788,576
370.jpg,1280,720,thumb,498,249,794,598
375.jpg,1280,720,thumb,433,238,767,551
380.jpg,1280,720,thumb,423,119,733,510
385.jpg,1280,720,thumb,485,207,774,545
390.jpg,1280,720,thumb,574,277,859,619
395.jpg,1280,720,thumb,608,306,882,593
400.jpg,1280,720,thumb,531,130,822,424
405.jpg,1280,720,thumb,537,68,843,371
410.jpg,1280,720,thumb,542,9,896,372
415.jpg,1280,720,thumb,549,46,933,408
420.jpg,1280,720,thumb,536,86,939,488
425.jpg,1280,720,thumb,539,112,939,506
430.jpg,1280,720,thumb,558,150,976,469
435.jpg,1280,720,thumb,568,127,992,436
440.jpg,1280,720,thumb,559,101,1046,481
445.jpg,1280,720,thumb,563,139,1035,495
450.jpg,1280,720,thumb,554,175,998,477
455.jpg,1280,720,thumb,521,184,905,474
460.jpg,1280,720,thumb,554,248,894,466
465.jpg,1280,720,thumb,556,243,927,500
470.jpg,1280,720,thumb,564,244,938,525
475.jpg,1280,720,thumb,566,214,974,522
480.jpg,1280,720,thumb,601,96,1029,473
485.jpg,1280,720,thumb,624,0,1105,426
490.jpg,1280,720,thumb,603,0,1104,412
495.jpg,1280,720,thumb,592,0,1095,414
500.jpg,1280,720,thumb,606,0,1123,478
510.jpg,1280,720,thumb,687,78,1106,506
520.jpg,1280,720,thumb,539,95,943,521
525.jpg,1280,720,thumb,495,87,939,501
530.jpg,1280,720,thumb,557,149,992,565
535.jpg,1280,720,thumb,613,164,1084,585
540.jpg,1280,720,thumb,657,131,1055,444
545.jpg,1280,720,thumb,598,119,994,389
550.jpg,1280,720,thumb,595,128,973,378
560.jpg,1280,720,thumb,627,158,969,389
565.jpg,1280,720,thumb,665,116,973,339
570.jpg,1280,720,thumb,669,133,953,364
580.jpg,1280,720,thumb,450,281,773,638
585.jpg,1280,720,thumb,526,175,796,556
590.jpg,1280,720,thumb,584,196,836,464
